Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Phone Number,Transaction ID
28,56,1,18,1,56,16,0,5,2,5.0,1,3,3,1,1,7,0,2,6774045454,1590
29,54,1,7,0,94,32,1,7,0,4.4,1,3,2,1,1,41,4,2,69220784,841
30,31,1,5,1,48,49,2,1,0,4.1,1,5,5,1,1,14,2,6,2616539541,405
31,57,1,12,0,31,32,0,1,3,4.7,1,0,4,1,1,16,2,4,5462146029,2401
32,33,1,5,1,79,47,0,3,3,4.7,1,5,5,1,1,45,5,4,8203692751,2484
34,54,1,13,1,38,5,0,8,2,3.3,1,5,5,1,1,45,1,5,1349178563,2318
35,36,1,24,1,91,33,0,22,1,4.6,1,3,0,1,1,38,4,5,4382462763,1219
36,54,1,2,1,33,20,1,5,2,4.0,1,0,0,1,1,48,2,1,8931516338,3644
37,35,1,24,1,69,12,1,12,3,4.6,1,1,2,1,1,44,4,3,2910645782,2027
38,35,1,11,1,45,13,2,5,2,2.8,1,3,5,1,1,10,4,6,8250994968,215
39,29,1,5,1,37,8,1,18,3,3.7,1,3,0,1,1,44,5,2,3751501753,2074
40,70,1,13,1,60,2,2,21,2,4.2,1,0,1,1,1,18,2,4,7383312886,2796
41,69,1,7,0,76,17,0,0,3,4.6,1,4,3,1,1,31,3,5,9994721468,1081
42,67,1,15,0,39,1,1,14,1,4.5,1,1,4,1,1,40,5,0,5051928917,3217
44,25,1,15,0,69,34,0,10,0,3.7,1,4,5,1,1,19,4,3,9442060591,1840
45,39,1,8,0,53,16,2,19,2,4.6,1,0,2,1,1,45,4,6,223577413,3484
46,50,1,21,1,21,41,3,9,0,2.9,1,5,0,1,1,25,4,0,4233931622,1067
47,57,1,16,1,43,4,0,23,2,2.9,1,5,5,1,1,45,1,5,8289301124,3500
48,55,1,12,0,54,25,1,4,3,4.5,1,3,2,1,1,36,1,6,1335135803,1784
49,42,1,16,1,55,27,1,14,2,2.7,1,3,5,1,1,38,1,4,4673029904,121
50,68,1,9,1,30,29,2,9,1,4.6,1,0,3,1,1,34,3,1,261426916,1462
51,49,1,2,1,28,19,1,18,1,3.7,1,1,5,1,1,39,3,1,3694821184,817
52,59,1,19,1,59,44,3,7,3,4.7,1,4,0,1,1,7,2,5,1205184742,3623
53,42,1,24,1,20,1,1,8,2,2.6,1,2,2,1,1,26,2,6,1987364454,736
54,29,1,19,1,24,23,2,15,3,3.9,1,3,3,1,1,35,2,6,8144295247,2381
55,47,1,4,3,94,30,1,3,2,4.2,1,0,3,1,1,35,3,1,8617647457,3444
56,40,1,10,3,28,39,1,10,3,3.0,1,5,0,1,1,49,2,0,7886828965,1351
57,41,1,0,0,73,23,3,3,2,4.7,1,4,5,1,1,46,2,6,9684109039,1043
58,21,1,4,3,64,47,1,23,2,4.4,1,4,5,1,1,17,3,3,3113792578,2154
59,69,1,9,1,54,24,1,4,2,4.2,1,2,2,1,1,29,5,4,8728383225,2951
60,63,1,1,0,79,17,0,24,1,4.6,1,3,4,1,1,4,3,6,7135073758,1053
61,50,1,23,1,37,11,0,3,2,4.0,1,2,1,1,1,17,1,6,8227840072,2312
62,55,1,15,0,68,42,1,14,3,4.7,1,0,5,1,1,21,2,2,8020662142,3807
63,30,1,20,2,21,23,2,11,1,3.8,1,2,2,1,1,31,2,3,8692195643,2975
64,33,1,22,0,79,2,0,10,3,2.7,1,2,0,1,1,43,2,6,1605055514,3554
65,65,1,3,2,83,0,2,8,0,4.8,1,4,4,1,1,18,3,3,596355401,1374
66,65,1,0,0,36,29,1,17,1,4.8,1,2,0,1,1,44,5,2,4237415600,3636
67,31,1,2,1,94,37,2,11,3,4.7,1,0,0,1,1,3,5,2,872990481,1356
68,45,1,4,3,33,6,0,7,3,4.4,1,4,5,1,1,49,3,4,4564079649,2339
69,57,1,7,0,46,43,0,19,2,3.9,1,2,3,1,1,21,1,2,9004580539,751
70,48,1,1,0,70,41,2,5,2,4.4,1,2,1,1,1,5,1,6,8610265502,2463
71,22,1,1,0,29,0,1,11,0,4.2,1,2,1,1,1,32,3,2,7272687514,3861
72,36,1,5,1,48,45,0,6,2,2.9,1,3,1,1,1,34,0,0,6793813006,1789
73,18,1,5,1,26,9,1,13,3,2.9,1,3,5,1,1,21,0,2,3555239481,180
74,48,1,13,1,85,10,1,20,1,2.7,1,3,2,1,1,43,0,1,7968516374,967
75,49,1,6,0,58,13,0,22,1,4.5,1,4,1,1,1,3,1,4,853100031,2125
76,64,1,15,0,85,43,1,2,2,2.7,1,3,2,1,1,21,2,0,5174305720,2486
77,50,1,8,0,43,7,2,20,2,4.2,1,0,2,1,1,32,5,4,3297861454,1135
78,22,1,5,1,53,7,0,6,2,3.3,1,3,3,1,1,36,3,3,4602962780,1049
79,50,1,19,1,91,26,1,12,1,4.7,1,5,2,1,1,50,5,3,4359515559,1430
81,19,1,14,2,72,31,3,2,2,3.3,1,2,5,1,1,24,2,2,4621230064,1772
82,67,1,17,2,96,45,0,12,2,2.6,1,4,1,1,1,36,2,2,8438386550,2012
83,19,1,13,1,28,9,2,13,1,4.0,1,0,0,1,1,21,2,2,9834197333,2364
84,36,1,5,1,40,42,1,21,2,4.1,1,3,4,1,1,34,0,6,7422613301,2947
85,52,1,4,3,32,2,2,15,1,4.4,1,1,4,1,1,42,0,2,3643438126,577
86,53,1,22,0,95,30,1,4,3,4.5,1,2,3,1,1,2,3,1,2875138464,64
87,24,1,9,1,41,27,0,16,1,3.7,1,5,0,1,1,47,1,1,9166215342,2622
88,52,1,17,2,53,34,1,8,0,3.7,1,3,0,1,1,44,3,3,2216002322,2543
89,33,1,24,1,47,49,1,14,0,3.5,1,2,2,1,1,35,2,4,5337308406,2767
91,25,1,8,0,48,39,0,22,2,2.9,1,5,1,1,1,29,2,4,6818445085,1847
92,44,1,15,0,99,39,2,8,3,4.6,1,4,4,1,1,18,2,2,629703081,111
93,61,1,10,3,87,42,1,13,3,4.4,1,1,0,1,1,13,5,2,4066199548,556
94,37,1,23,1,62,8,1,17,0,4.5,1,4,4,1,1,46,2,6,9466851847,1069
95,58,1,19,1,76,27,2,19,1,4.6,1,0,2,1,1,28,2,6,5669246268,713
96,37,1,20,2,100,24,0,16,0,3.8,1,4,2,1,1,48,4,4,1983623076,3142
97,32,1,6,0,73,7,2,6,1,3.6,1,5,1,1,1,43,5,2,8244057906,3480
98,21,1,17,2,92,45,1,20,3,4.8,1,4,5,1,1,37,1,0,3858759292,1863
99,20,1,11,1,67,31,3,20,1,2.6,1,1,3,1,1,20,0,0,8667049355,2185
100,26,1,9,1,40,24,3,9,2,3.7,1,1,1,1,1,33,3,5,8442228847,1516
101,62,1,22,0,98,40,1,12,0,2.7,1,4,1,1,1,31,1,3,4187316108,1051
102,27,1,4,3,85,33,3,23,1,4.6,1,5,1,1,1,50,2,1,1044672238,2845
103,51,1,21,1,67,35,0,22,3,4.8,1,2,3,1,1,35,2,5,4017116389,2288
104,54,1,3,2,89,47,0,18,3,4.0,1,3,3,1,1,22,5,1,2932141710,1388
105,55,1,22,0,24,28,0,16,1,4.4,1,0,0,1,1,1,4,4,6293308975,3110
107,64,1,10,3,35,22,0,23,2,3.7,1,1,4,1,1,31,2,4,4748661803,3377
108,28,1,20,2,67,19,0,13,3,3.1,1,1,3,1,1,46,4,3,3399629522,2177
109,70,1,21,1,79,25,0,17,1,3.4,1,0,3,1,1,32,0,1,9404007464,2376
110,58,1,24,1,85,0,1,22,1,2.6,1,1,3,1,1,43,0,3,3137591101,3164
111,56,1,0,0,26,31,1,1,2,4.0,1,0,4,1,1,26,5,3,259205411,2840
112,26,1,1,0,75,20,0,17,2,5.0,1,4,2,1,1,9,2,0,2740879565,68
113,37,1,6,0,65,8,1,18,1,4.3,1,2,2,1,1,28,4,1,813873748,56
114,44,1,8,0,54,29,0,12,3,3.1,1,3,3,1,1,20,4,5,7711225480,1757
116,53,1,19,1,94,49,1,7,1,3.8,1,1,4,1,1,48,3,2,4057354601,182
117,55,1,17,2,86,45,2,2,1,3.4,1,4,2,1,1,12,5,0,9225188925,1019
118,50,1,14,2,32,40,0,24,2,4.6,1,0,1,1,1,29,1,3,947303456,3345
119,50,1,23,1,45,16,0,14,0,4.8,1,0,0,1,1,27,1,1,2345833808,3224
120,38,1,4,3,76,49,1,14,0,4.3,1,3,1,1,1,44,1,0,5624284750,3373
121,64,1,8,0,84,47,0,18,2,4.0,1,4,1,1,1,32,0,0,8588005889,1426
122,19,1,18,1,72,45,1,13,3,4.2,1,1,4,1,1,11,1,3,5931763578,1197
123,40,1,0,0,40,46,0,3,1,4.8,1,2,0,1,1,44,1,3,3714207095,2383
124,57,1,23,1,89,17,0,3,0,3.1,1,3,2,1,1,46,1,6,4891751816,3340
125,44,1,23,1,86,27,1,7,1,3.1,1,4,3,1,1,50,4,0,3508266499,3208
126,49,1,18,1,54,4,1,9,3,3.6,1,1,3,1,1,45,5,2,6150222977,1369
127,43,1,18,1,36,23,0,16,1,3.9,1,0,5,1,1,48,1,2,3897445314,1547
128,24,1,23,1,89,23,1,7,3,4.8,1,5,3,1,1,26,2,6,591919476,1549
129,20,1,15,0,32,4,1,6,1,4.7,1,5,4,1,1,21,2,3,6998698969,2477
130,24,1,5,1,67,37,3,13,2,4.2,1,1,0,1,1,49,4,1,3153941689,2291
131,44,1,15,0,39,16,0,22,0,3.7,1,2,3,1,1,13,4,3,9392268987,3890
132,28,1,19,1,29,18,0,9,2,3.9,1,4,4,1,1,46,2,6,436629721,2410
133,30,1,0,0,58,30,1,14,0,4.7,1,0,0,1,1,42,4,6,7298672329,2077
134,52,1,23,1,65,25,1,22,3,2.5,1,0,3,1,1,25,5,0,2046348111,2261
135,43,1,8,0,94,42,0,7,0,4.9,1,2,5,1,1,25,1,4,7748133736,807
136,43,1,14,2,81,15,1,17,0,4.1,1,4,1,1,1,12,4,5,9314207336,3278
137,39,1,2,1,86,39,1,23,3,3.3,1,2,2,1,1,4,3,5,9051554547,3870
138,68,1,20,2,43,5,1,21,1,4.7,1,1,2,1,1,38,4,6,4681107691,3756
139,68,1,19,1,29,9,1,12,3,4.4,1,1,5,1,1,42,0,6,2168797528,292
140,49,1,4,3,95,8,1,23,0,3.8,1,3,5,1,1,30,5,0,6253688970,1891
141,63,1,16,1,28,32,0,24,0,3.9,1,0,0,1,1,50,2,6,7557268037,1185
142,56,1,6,0,46,45,1,21,0,4.9,1,4,2,1,1,45,4,6,5417166573,3722
143,37,1,10,3,58,26,0,22,0,3.1,1,4,2,1,1,33,2,3,7477532353,2421
144,30,1,4,3,48,24,1,0,0,2.7,1,0,5,1,1,25,4,5,5840691164,2980
145,19,1,17,2,43,29,1,19,0,3.2,1,2,1,1,1,25,1,4,1242250355,481
146,24,1,12,0,95,24,1,20,0,4.5,1,5,4,1,1,44,3,5,6418939774,3310
147,52,1,19,1,30,5,2,1,0,4.0,1,3,4,1,1,21,5,3,7021423962,3766
148,63,1,17,2,64,11,1,17,2,3.5,1,0,0,1,1,31,0,3,7956447047,2942
149,37,1,6,0,90,49,1,7,0,2.6,1,4,5,1,1,47,3,0,2716737040,646
150,38,1,13,1,76,7,1,23,2,3.2,1,5,2,1,1,14,4,4,1654412577,560
151,35,1,3,2,96,4,0,5,0,4.9,1,0,4,1,1,17,3,2,3564830264,1559
152,28,1,22,0,47,33,0,21,0,4.5,1,3,3,1,1,3,5,0,5458227469,1676
153,30,1,16,1,85,39,2,3,2,4.3,1,4,1,1,1,42,5,0,8242861269,2350
154,69,1,9,1,55,32,1,12,3,3.2,1,3,4,1,1,22,3,0,7915941468,161
155,41,1,5,1,98,35,1,4,0,3.6,1,3,3,1,1,21,5,5,9484281686,2502
156,63,1,21,1,77,18,2,13,1,4.3,1,1,2,1,1,21,0,5,4150324467,2119
157,35,1,18,1,26,24,1,10,0,4.0,1,5,4,1,1,40,3,0,5194635538,2645
158,36,1,8,0,68,44,2,24,0,3.0,1,3,3,1,1,1,0,3,6037996358,3474
159,25,1,16,1,73,6,3,20,0,4.1,1,0,4,1,1,50,0,4,6580345374,803
160,58,1,6,0,27,28,1,4,0,3.8,1,3,5,1,1,39,0,2,6784855048,1577
161,27,1,6,0,23,42,1,14,2,4.6,1,0,2,1,1,34,5,4,1906971979,1272
162,65,1,0,0,49,33,1,13,0,3.0,1,5,1,1,1,29,5,3,2700537390,3816
163,54,1,22,0,74,4,1,21,2,3.0,1,2,5,1,1,31,4,1,7686090220,897
164,54,1,19,1,67,45,1,17,2,3.4,1,4,4,1,1,8,3,6,1595023867,859
165,59,1,7,0,65,7,2,17,1,2.6,1,3,2,1,1,5,2,3,4516156723,885
166,42,1,7,0,60,16,2,24,3,2.8,1,2,5,1,1,7,1,4,6728939117,1792
167,46,1,20,2,31,7,3,9,0,4.0,1,1,5,1,1,30,1,4,9867923903,860
168,33,1,6,0,27,3,1,8,0,4.0,1,5,1,1,1,14,2,2,4694793393,1026
169,34,1,17,2,80,17,1,11,2,3.0,1,0,1,1,1,5,1,3,1699553258,1697
170,27,1,10,3,30,27,2,6,2,3.3,1,2,4,1,1,3,4,2,1422585833,155
171,52,1,16,1,25,49,1,12,0,2.6,1,5,5,1,1,46,5,1,6091970234,2518
172,29,1,18,1,35,45,1,2,2,3.6,1,3,5,1,1,4,2,6,2560660995,191
173,54,1,12,0,67,26,1,22,2,3.9,1,0,3,1,1,42,2,1,4080725201,923
174,25,1,8,0,46,10,1,21,0,3.4,1,4,4,1,1,30,1,0,1619930459,1285
175,41,1,17,2,35,44,0,3,3,3.5,1,5,1,1,1,37,5,0,4805535311,361
176,53,1,4,3,86,35,0,22,0,2.8,1,3,3,1,1,2,0,0,4286496386,1386
177,53,1,0,0,81,28,0,1,1,2.7,1,0,3,1,1,30,2,5,8720924575,863
178,21,1,9,1,42,15,0,11,0,3.7,1,3,3,1,1,47,0,4,876092818,3737
179,61,1,19,1,43,11,0,10,0,4.3,1,3,0,1,1,21,4,5,2565710868,2835
180,64,1,3,2,31,12,1,22,0,4.9,1,3,5,1,1,9,0,3,1401044681,3092
181,51,1,14,2,81,40,0,8,0,3.3,1,1,5,1,1,12,3,3,4067892644,1985
182,32,1,13,1,61,20,1,0,2,4.7,1,5,3,1,1,4,0,6,6423127452,110
183,38,1,6,0,96,0,3,17,2,2.8,1,5,5,1,1,10,3,0,486872143,2375
184,58,1,19,1,29,34,3,0,1,3.6,1,0,0,1,1,26,2,6,5739263203,956
185,32,1,20,2,33,10,0,5,1,3.0,1,1,1,1,1,40,1,3,1024465499,2010
186,46,1,24,1,32,48,3,19,2,4.5,1,0,5,1,1,34,0,3,5083526065,2814
187,39,1,0,0,56,22,2,10,2,2.9,1,3,4,1,1,31,3,0,1937990182,790
189,50,1,9,1,53,3,1,16,1,3.1,1,2,1,1,1,5,0,1,4967645850,2471
190,36,1,2,1,82,47,1,12,0,4.4,1,5,3,1,1,4,2,6,7501087954,96
192,64,1,8,0,76,43,1,7,0,3.9,1,2,2,1,1,29,1,2,6547641107,1788
193,46,1,17,2,29,26,0,21,2,2.9,1,5,1,1,1,12,4,1,7274213260,135
194,36,1,1,0,100,33,2,19,0,3.0,1,4,4,1,1,29,5,0,7658790427,400
195,51,1,0,0,94,24,1,13,1,3.1,1,5,1,1,1,15,3,5,9223842471,2747
196,51,1,10,3,25,31,1,11,0,4.3,1,2,2,1,1,34,2,4,9520680131,1766
197,38,1,3,2,88,46,1,10,2,3.9,1,1,3,1,1,41,2,3,810098426,1048
198,59,1,15,0,78,39,1,1,0,3.2,1,3,0,1,1,41,2,4,5913112372,1111
199,57,1,12,0,45,43,1,21,3,4.8,1,1,4,1,1,39,2,3,6434968563,3399
200,54,1,8,0,73,11,3,8,2,3.8,1,3,1,1,1,32,1,6,9439556656,3505
201,25,1,5,1,61,37,2,20,2,3.3,1,4,3,1,1,29,5,4,1306343470,336
202,69,1,2,1,22,24,2,0,0,4.3,1,0,2,1,1,15,0,0,6076543561,2609
203,57,1,8,0,38,26,0,11,1,2.7,1,0,1,1,1,33,5,0,5607537728,448
204,70,1,15,0,38,13,2,24,0,3.2,1,4,3,1,1,18,0,6,7762972590,3036
205,24,1,20,2,100,2,1,24,0,4.0,1,4,5,1,1,35,1,1,7223508407,1924
206,67,1,16,1,64,10,1,19,3,3.0,1,0,4,1,1,25,4,6,7894319875,1451
207,24,1,24,1,55,48,0,19,2,4.2,1,5,2,1,1,6,5,3,6686734369,2632
208,62,1,6,0,91,38,1,19,2,2.9,1,5,1,1,1,17,0,1,3315654211,3259
209,57,1,19,1,38,48,1,6,1,4.1,1,1,5,1,1,17,2,4,8245191810,832
210,55,1,14,2,97,22,2,13,3,3.2,1,0,5,1,1,44,1,2,9754290652,2048
211,45,1,10,3,22,44,0,20,0,3.0,1,5,0,1,1,6,4,3,8214466920,2752
212,69,1,19,1,92,40,0,12,0,4.2,1,5,0,1,1,45,3,3,4169894406,929
213,67,1,7,0,84,45,0,2,0,4.2,1,5,1,1,1,7,3,0,7214471423,1760
214,30,1,7,0,93,27,0,15,0,4.4,1,1,5,1,1,11,3,2,1164316432,2589
215,24,1,10,3,50,10,0,2,2,4.2,1,1,3,1,1,41,1,2,3399668504,1236
216,62,1,15,0,64,29,2,14,1,2.8,1,0,0,1,1,24,4,1,5308269996,2660
217,43,1,18,1,61,20,0,24,1,3.7,1,1,2,1,1,21,5,6,7946146134,1072
218,35,1,22,0,48,35,1,17,3,3.5,1,5,3,1,1,24,0,0,7020247238,939
219,28,1,24,1,45,4,2,11,1,2.9,1,2,5,1,1,8,2,5,7502536138,571
220,32,1,1,0,88,27,1,5,1,3.0,1,5,2,1,1,12,1,3,4751804533,425
221,39,1,20,2,57,2,2,9,1,3.7,1,3,1,1,1,48,3,3,2048740048,1726
222,28,1,8,0,68,32,3,11,2,4.4,1,3,5,1,1,6,0,5,2835899322,3638
223,47,1,6,0,94,31,3,7,1,4.5,1,5,0,1,1,14,4,3,5510847400,833
224,20,1,13,1,41,49,1,21,1,4.8,1,5,2,1,1,34,4,0,7658598815,3475
225,63,1,21,1,83,40,2,0,2,2.9,1,4,2,1,1,12,1,2,4521006811,1872
226,25,1,10,3,22,3,1,13,1,3.2,1,3,3,1,1,11,0,0,9518489298,2022
227,29,1,17,2,74,42,0,22,1,3.3,1,1,2,1,1,5,4,4,9798976006,3632
228,50,1,11,1,90,38,1,21,3,4.2,1,5,4,1,1,25,5,3,5187059958,277
229,18,1,21,1,79,28,1,23,1,2.9,1,2,5,1,1,11,2,0,9804677578,415
230,70,1,14,2,28,34,2,19,1,4.6,1,1,3,1,1,27,4,2,4272396598,2059
231,66,1,15,0,88,43,0,13,0,4.1,1,5,4,1,1,43,2,0,8819775611,3536
232,28,1,2,1,26,41,1,2,1,3.1,1,0,0,1,1,18,3,2,2141642356,2289
233,54,1,12,0,27,10,0,17,3,4.2,1,0,1,1,1,32,0,1,3657213965,1064
234,19,1,23,1,83,2,3,24,0,4.5,1,4,3,1,1,27,0,2,5653836895,3104
235,20,1,6,0,39,40,2,19,2,3.7,1,4,3,1,1,24,2,6,2790644498,50
236,43,1,22,0,89,29,1,5,3,3.7,1,1,2,1,1,31,3,5,474146891,1495
237,38,1,4,3,68,33,0,8,3,3.4,1,3,3,1,1,39,4,3,2711028569,3678
238,50,1,5,1,90,14,1,0,2,3.0,1,5,5,1,1,36,3,3,3199224904,2757
239,64,1,19,1,34,34,1,15,0,4.2,1,3,2,1,1,5,1,0,4672615143,2987
240,49,1,13,1,51,44,0,24,2,2.9,1,4,1,1,1,47,2,1,9410951770,830
241,47,1,23,1,45,25,3,21,3,3.5,1,2,2,1,1,29,0,3,3938952704,3584
242,36,1,9,1,88,7,1,15,3,4.1,1,4,2,1,1,43,5,1,6583824927,3053
243,55,1,4,3,85,31,0,7,2,4.3,1,2,5,1,1,40,3,2,1994595539,3811
244,25,1,12,0,100,16,1,13,3,2.8,1,2,0,1,1,4,3,4,7871079558,3606
245,53,1,1,0,42,36,2,9,1,4.9,1,3,0,1,1,39,4,6,5463384337,958
246,49,1,14,2,53,38,0,4,2,3.3,1,1,3,1,1,45,5,3,5143990206,208
247,35,1,22,0,86,27,3,0,1,3.2,1,2,1,1,1,20,5,1,5482198371,2427
248,29,1,23,1,66,25,3,3,1,4.4,1,2,4,1,1,14,3,6,7900768247,172
249,47,1,1,0,100,37,1,2,3,4.8,1,5,1,1,1,33,4,6,7902544246,2940
250,53,1,7,0,47,1,2,20,0,4.2,1,1,4,1,1,18,2,0,3762258520,3134
251,33,1,19,1,25,23,0,1,0,4.0,1,3,1,1,1,9,0,6,9192819687,1259
252,21,1,7,0,51,49,3,6,3,2.5,1,4,4,1,1,34,4,0,7432643214,2707
253,32,1,18,1,41,7,1,22,2,3.9,1,1,2,1,1,33,5,3,3596875799,3358
254,52,1,3,2,73,35,0,5,3,4.9,1,4,0,1,1,15,0,1,7098353708,232
255,67,1,22,0,42,13,1,23,3,3.5,1,2,5,1,1,4,4,1,9145922261,1201
256,43,1,15,0,20,19,1,4,1,4.2,1,3,2,1,1,25,3,0,9802169833,3685
257,58,1,12,0,30,40,3,22,1,4.7,1,5,1,1,1,20,2,2,7552806227,3791
258,20,1,7,0,53,47,1,18,2,4.5,1,4,1,1,1,5,2,5,3523777945,3539
259,61,1,6,0,74,0,2,10,1,2.8,1,5,1,1,1,16,1,5,1592827873,1793
260,32,1,11,1,57,17,1,6,0,2.9,1,2,4,1,1,13,3,0,7693883528,1701
261,38,1,8,0,57,25,2,18,3,3.2,1,0,0,1,1,11,2,2,6994790989,3173
262,21,1,11,1,77,4,0,11,3,4.9,1,1,4,1,1,21,2,0,4388324062,1296
263,37,1,13,1,40,10,1,20,2,3.7,1,1,3,1,1,6,3,0,6880772697,1907
264,27,1,18,1,46,14,1,17,2,4.3,1,2,5,1,1,29,5,4,9598328538,1661
265,36,1,13,1,78,5,2,4,0,3.9,1,5,5,1,1,15,1,0,5570501021,2188
266,32,1,0,0,59,21,1,7,1,3.2,1,5,0,1,1,17,0,1,2681779716,1956
267,51,1,12,0,75,17,0,23,2,3.1,1,1,1,1,1,32,2,6,4035017270,374
268,64,1,23,1,54,19,1,13,1,3.9,1,5,0,1,1,42,5,0,6180124486,2731
269,68,1,17,2,42,9,1,4,1,2.6,1,5,5,1,1,21,1,4,7554368988,533
270,68,1,2,1,44,9,1,4,3,3.3,1,4,3,1,1,9,1,1,3776046525,1542
271,33,1,11,1,52,33,3,14,0,4.6,1,3,2,1,1,16,0,0,3729413588,2944
272,65,1,22,0,69,19,3,24,2,4.6,1,2,1,1,1,42,2,3,7145306229,1943
273,48,1,12,0,26,36,1,0,2,4.4,1,4,0,1,1,37,3,1,8424281163,2221
274,69,1,4,3,33,33,2,19,1,4.2,1,1,1,1,1,32,3,5,6756371133,1677
275,59,1,12,0,32,19,1,9,1,3.0,1,2,1,1,1,28,1,1,5871917679,1057
276,48,1,0,0,85,45,3,10,3,4.0,1,3,1,1,1,13,2,6,1566764976,2884
277,25,1,19,1,30,40,3,21,0,3.5,1,3,1,1,1,11,0,3,8427269432,2562
278,29,1,16,1,29,9,1,8,3,3.0,1,2,5,1,1,36,0,1,3540167762,413
279,57,1,23,1,95,10,1,14,1,3.7,1,0,1,1,1,23,3,0,6652981595,1288
280,23,1,20,2,69,3,0,21,2,4.0,1,2,4,1,1,37,0,4,1390787713,317
281,45,1,14,2,69,25,2,5,0,4.2,1,3,0,1,1,21,1,1,257805484,2827
282,38,1,1,0,61,35,3,4,1,2.5,1,0,4,1,1,22,3,1,7813502635,1447
283,21,1,19,1,94,22,1,20,2,3.0,1,3,0,1,1,9,1,4,4219588232,1286
284,32,1,23,1,30,25,2,12,0,3.2,1,3,3,1,1,16,5,0,3611720227,3200
285,63,1,19,1,45,34,1,18,2,3.5,1,4,4,1,1,4,4,5,364457284,1196
286,29,1,7,0,39,16,3,24,2,4.8,1,2,1,1,1,3,3,1,2299995166,1867
287,27,1,12,0,51,26,0,7,2,2.6,1,1,5,1,1,6,3,0,4172664592,517
288,56,1,15,0,37,7,0,2,1,3.4,1,1,0,1,1,18,5,3,9956075134,24
289,30,1,24,1,62,32,1,10,3,3.7,1,2,0,1,1,34,5,1,6114049222,1309
290,49,1,4,3,85,31,1,24,0,4.5,1,3,0,1,1,26,2,4,7096054420,1850
292,57,1,5,1,26,7,3,22,0,3.3,1,2,3,1,1,40,0,4,9687582410,3827
293,60,1,17,2,99,43,1,8,1,4.7,1,2,2,1,1,24,1,5,2837368035,463
294,69,1,7,0,39,6,1,23,1,2.7,1,4,1,1,1,33,4,0,8795009689,590
295,70,1,19,1,20,29,1,6,1,4.6,1,1,5,1,1,19,2,2,1113827349,629
296,53,1,22,0,42,47,1,9,3,2.7,1,5,5,1,1,24,2,5,8662092117,1186
297,25,1,14,2,74,13,2,10,1,4.8,1,4,0,1,1,19,2,6,158705834,942
298,48,1,17,2,26,7,3,17,2,4.4,1,0,4,1,1,4,2,1,1787463379,358
299,69,1,24,1,53,19,1,10,3,4.0,1,1,4,1,1,11,5,2,8488216903,3604
300,25,1,20,2,80,37,1,12,2,3.2,1,2,3,1,1,28,4,3,5824910061,2476
